cusip,price
A9N4XY951,72.403
WSRD0MP30,99.007
R6C12YFC1,88.221
52LQC71N6,94.962
4AYGZVUJ7,95.465
G5KMMXRD0,86.350
SSV28YAV8,101.424
32CCD2WC5,83.499
0JPS1ELG5,95.648
27BC3JMP6,101.730
3Z0PUX022,93.032
NBJ6XWYP4,96.009
K16NH9233,75.107
4ERTQ80M9,90.296
QHTJGTS87,93.754
PPTGUAR44,100.036
GQ42KCE05,87.932
5LWDDC893,94.974
X6Z0K4UY7,94.851
E5YCQWFJ6,75.396
Z5LRBNHV5,99.005
LPP4T4B28,90.805
13J12Z7Y6,87.667
Y2YXLN5U2,74.672
CVVVZYYL3,70.737
55UU22ZR6,101.303
LJHQ58FE2,82.460
LVSA43GR4,94.268
C3AZWST38,100.558
6BLVNG6S7,88.690
0VKLW76Q0,89.969
RU19ZZJH7,99.605
A7ZESVKC3,79.358
H1V0JMHL6,84.122
BHH7LD6G6,88.077
5EULL3794,90.292
PUCXU5K68,99.454
2UPBYM188,83.441
DWEPQWDD1,98.957
VRLYLN886,98.616
ASMZEXAA0,90.116
ZWKG9J212,99.627
U0FPG0AK5,94.724
U1255ES45,97.988
R9HK60C56,75.626
TDQ00QCN1,94.744
XR7XP3KA6,90.254
0V9BGWD01,100.239
3QPE1WG51,94.115
XF9X9QJ10,80.619
BJUC2RHU3,82.951
9ECM4ZUP9,95.209
29HFPTHV9,74.608
UAZ11UP06,93.789
50RQGGZ81,102.296
92HZNYYL2,99.018
J0YUWBQU0,91.033
RB1JMT6L4,92.142
P8VPY50S7,86.720
SD14XVA40,79.157
SA3HRP214,96.957
6NLYQYTM8,100.113
WT9X9YTX6,83.497
5DU992U36,93.170
6VD8JUED4,92.208
4V109PWN5,99.644
AXKMPZ517,95.523
1SL2ZPG26,96.840
ARDX7SY06,99.604
VHT5QQAK6,99.695
6JMW1T7H0,82.102
SCAU9JM39,89.148
4JQEMC0S6,100.149
FF8L3XBH4,88.010
0H8RYSZJ2,91.329
YNSC13163,89.868
8ZPBPML91,77.014
31RZHB072,91.705
M57U05KV0,84.047
FD7H9NCY4,89.630
WH63UBMT2,79.038
3GW3H45Q4,87.280
XPDNYUD80,93.240
86MNBNUW6,79.347
01D1RW926,93.682
RN5W87EB6,95.116
SZ82JBWL2,91.374
VR53C0PG3,87.047
P5E6EC9A1,87.684
Q6D1AXSD4,93.629
S8QM22ML2,75.580
GU7TRF899,94.142
DWWU4C723,95.333
RED6N1RA2,94.547
RPYU04MC4,85.500
ENF7H6LS6,102.339
KH2XAGCR0,100.649
6KNHXANM7,91.570
4CNQVHX42,83.013
YKJ5ZQ3M1,75.232
12WS4K603,91.374
M8MG305D7,100.741
HY7RDQ301,98.926
GUS03JR57,91.708
LZ16HDZH7,98.340
6WYLFY4U6,82.515
9UBJG7NJ5,96.870
5CZKLLMK3,92.828
9DQPTFQF8,82.938
72CQXDZE7,94.057
VADAJZNQ6,84.622
KZNZ2H4M7,96.165
T9C0Z1FA9,82.656
WANAV41E6,73.769
U08K4DES0,78.732
WVABZ6773,88.229
XCH40SQH5,100.862
9DF2Q14W3,83.643
YGVEQJS51,101.598
XVNHTFZ19,92.723
ZZZNOTREAL,99.500
BADPRICE9,not-a-price
